Taxon,Phylum,Class,Order,Family,Genus,Other_Taxa,Tribe,FFG,FAM_TV,Habit,FinalTolVal07,Comment,Year_Added
ABLABESMYIA,Arthropoda,Insecta,Diptera,Chironomidae,Ablabesmyia,Tanypodinae,Pentaneurini,Predator,7,sp,8.1,,1995
ACENTRELLA,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acentrella,,,Collector,5,"sw, cn",4.9,,1995
ACERPENNA,Arthropoda,Insecta,Ephemeroptera,Baetidae,Acerpenna,,,Collector,5,"sw, cn",2.6,,1995
ACRONEURIA,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,Acroneuriini,Acroneuriini,Predator,2,cn,2.5,,1995
AEDES,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Culicini,Culicini,Filterer,8,sw,8,,1995
AESHNIDAE,Arthropoda,Insecta,Odonata,Aeshnidae,,,,Predator,3,cb,6.2,,1995
AGABUS,Arthropoda,Insecta,Coleoptera,Dytiscidae,Agabus,,,Predator,5,"sw, dv",5.4,,1995
AGAPETUS,Arthropoda,Insecta,Trichoptera,Glossosomatidae,Agapetus,,,Scraper,1,cn,2,,1995
ALLOCAPNIA,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,,,Shredder,2,cn,4.2,,1995
ALLOPERLA,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Alloperla,,,Predator,1,cn,1.6,,1995
AMELETUS,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Ameletus,,,Collector,0,"sw, cb",2.6,,1995
AMNICOLA,Mollusca,Gastropoda,Neotaenioglossa,Hydrobiidae,Amnicola,,,Scraper,8,cb,8,,1995
AMPHINEMURA,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,,,Shredder,2,"sp, cn",3,,1995
AMPHIPODA,Arthropoda,Malacostraca,Amphipoda,,,Crustacea,,,,sp,6,,1995
ANCHYTARSUS,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Anchytarsus,,,Shredder,4,cn,3.1,,1995
ANCYLIDAE,Mollusca,Gastropoda,Basommatophora,Ancylidae,,Mollusca,,Scraper,7,cb,7,,1995
ANCYRONYX,Arthropoda,Insecta,Coleoptera,Elmidae,Ancyronyx,,,Scraper,5,"cn, sp",7.8,,1995
ANTOCHA,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,,,Collector,4,cn,8,,1995
APSECTROTANYPUS,Arthropoda,Insecta,Diptera,Chironomidae,Apsectrotanypus,Tanypodinae,Macropelopiini,Predator,7,"bu, sp",6.6,,1995
ARGIA,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,,,Predator,8,"cn, cb, sp",9.3,,1995
ARIGOMPHUS,Arthropoda,Insecta,Odonata,Gomphidae,Arigomphus,,,Predator,5,bu,2.2,,1995
ATHERICIDAE,Arthropoda,Insecta,Diptera,Athericidae,,,,,2,"sp, bu",2,,1995
ATHERIX,Arthropoda,Insecta,Diptera,Athericidae,Atherix,,,Predator,2,"sp, bu",2,,1995
BAETIDAE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,Collector,5,"sw, cn",2.3,,1995
BAETIS,Arthropoda,Insecta,Ephemeroptera,Baetidae,Baetis,,,Collector,5,"sw, cb, cn",3.9,,1995
BASIAESCHNA,Arthropoda,Insecta,Odonata,Aeshnidae,Basiaeschna,,,Predator,3,"cb, sp, cn",6.2,,1995
BELOSTOMA,Arthropoda,Insecta,Hemiptera,Belostomatidae,Belostoma,,,Predator,10,"cb, sw",10,,1995
BELOSTOMATIDAE,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,,,10,,10,,1995
BEROSUS,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,,Collector,5,"sw, dv, cb",4.1,,1995
BEZZIA,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,,,Predator,6,bu,3.3,,1995
BITHYNIA,Mollusca,Gastropoda,Neotaenioglossa,Bithyniidae,Bithynia,,,Scraper,8,cb,9,,1995
BITHYNIIDAE,Mollusca,Gastropoda,Mesogastropoda,Bithyniidae,,,,,8,,,,1995
BLEPHARICERA,Arthropoda,Insecta,Diptera,Blephariceridae,Blepharicera,,,Scraper,0,cn,4,,1995
BLEPHARICERIDAE,Arthropoda,Insecta,Diptera,Blephariceridae,,,,,0,,0,,1995
BOYERIA,Arthropoda,Insecta,Odonata,Aeshnidae,Boyeria,,,Predator,3,"cb, sp",6.3,,1995
BRACHYCENTRUS,Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,,,Filterer,1,cn,2.3,,1995
BRILLIA,Arthropoda,Insecta,Diptera,Chironomidae,Brillia,Orthocladiinae,,Shredder,7,"bu, sp",7.4,,1995
CAECIDOTEA,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,Crustacea,,Collector,8,sp,2.6,,1995
CAENIDAE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,,,7,,7,,1995
CAENIS,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,,,Collector,7,sp,2.1,,1995
CALLIBAETIS,Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,,,Collector,5,"sw, cn",2.3,,1995
CALOPTERYX,Arthropoda,Insecta,Odonata,Calopterygidae,Calopteryx,,,Predator,5,cb,8.3,,1995
CAMBARIDAE,Arthropoda,Malacostraca,Decapoda,Cambaridae,,Crustacea,,Shredder,6,sp,2.8,,1995
CAMBARUS,Arthropoda,Malacostraca,Decapoda,Cambaridae,Cambarus,Crustacea,,Collector,6,sp,0.4,,1995
CAMPELOMA,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Campeloma,Mollusca,,Scraper,6,cb,6,,1995
CAPNIIDAE,Arthropoda,Insecta,Plecoptera,Capniidae,,,,Shredder,2,"sp, cn",3.7,,1995
CARDIOCLADIUS,Arthropoda,Insecta,Diptera,Chironomidae,Cardiocladius,Orthocladiinae,,Predator,7,"bu, cn",10,,1995
CENTROPTILUM,Arthropoda,Insecta,Ephemeroptera,Baetidae,Centroptilum,,,Collector,5,"sw, cn",2.3,"Key Change for Baetidae, possibly from Baetis, split",1995
CERACLEA,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Athripsodini,Athripsodini,Collector,4,"sp, cb",4.1,,1995
CERATOPOGON,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogon,,,Predator,6,"sp, bu",2.7,,1995
